Тип	Термозащита 	Доп функции	Уход  (увлажнение/ питание/ восстановление)	Наименование	Фото	Состав  (внимание! Составы взяты с сайтов маркетплейстов, при нахождении несоответсвия просьба сообщить)	Производство	Комментарий	ч
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Constant Delight  Жидкие кристаллы Finishing Magic 5 Oils		Cyclopentasiloxane, Dimethiconol, C13-14 isoparaffin, Argania spinosa kernel oil, Alcohol denat, Parfum (Fragrance), Methul hydrogenated rosinate, Benzyl salicylate, Linalool, Gossypium herbaceum (cotton) seed oil, Macadamia integrifolia seed oil, Persea gratissima (Avocado) oil, Simmondsia chinensis (Jojoba) seed oil, Limonene, CI 47000 (Yellow 11), CI 26100 (Red17).	ЕС	Кудряшкам не подойдет	Высокая
Сыворотка	Утюг ●●●	Пленки, защита от внешних факторов	Увлажнение Восстановление	CP-1  ESTHETIC HOUSE The Remedy Silk  Восстанавливающая эссенция для поврежденных и сухих волос / Термозащитная шелковая эссенция для волос		Cyclopentasiloxane, Dimethicone, Isostearyl Isostearate, Alcohol, C12-15 Alkyl Benzoate, Panthenol, Hydrolyzed Silk(1,000ppm), Hydrolyzed Elastin, Hydrolyzed Keratin, Hydrolyzed Collagen, Glycerin, 1,2-Hexanediol, Alpha-Isomethyl Ionone, Benzyl Alcohol, Linalool, Butylphenyl Methylpropional, Fragrance	Корея	Кудряшкам не подойдет	Высокая
Крем	Фен (слабая) ●	Не сильная термозащита, уход 	Увлажнение Восстановление	CURL ROCK AND ROLL  Несмываемый крем для ухода за кудрявыми волосами		вода (Aqua); цетеариловый спирт (Cetearyl Alcohol); дистеароилэтил димониум хлорид (Distearoylethyl Dimonium Chloride); воск рисовых отрубей (Rice (Oryza Sativa) Bran Wax); аргинин (L-Arginine); гидролизованный протеин овса (Hydrolyzed Oat Protein); мембранно-липидный комплекс из сои (Phospholipids, Glycine Soja Oil and Glycolipids and Glycine Soja Sterols); комплекс аминокислот: цистеин, глутамин, глицин, таурин, пролин, гидроксипролин (Cysteine, Glutamine, Glycine, Taurine, Proline, Hydroxyproline); эмолент из кокосового масла (Isopropyl Myristate); апельсиновый воск (Citrus Aurantium Dulcis Peel Wax); глюкозамин (Glucosamine); сквалан (Squalane); катионный гуар (Guar Hydroxypropyltrimonium Chloride); мягкий консервант (Nipaguard SCE: Sorbitan Caprylate, Propanediol, Benzoic Acid); лимонная кислота (Citric Acid); натуральные пищевые ароматизаторы апельсина и ананаса (Fragrances)	РФ/СНГ	Кудряшкам подойдёт 	Высокая 
Спрей	Фен ●	Антистатик, пленки	Поверхностный уход	Davines  Love Curl Revitalizer Spray  Спрей-ревиталайзер для усиления завитка		Water, Alcohol Denat., Glycerin, Polysorbate 20, VP/VA Copolymer, Polyquaternium-69, Fragrance, Polyquaternium-11, Disodium EDTA, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Limonene, Citric Acid	ЕС	Если волос сухой, лучше не использовать Содержит простой спирт	Высокая
Крем	Фен (слабая) ●	Пленки, защита от внешних факторов	Увлажнение	Davines  MOMO Hair Potion  Увлажняющий несмываемый крем для волос 		Aqua / Water / Eau, Cetearyl Alcohol, Glycerin, Hydroxypropyl Starch Phosphate, Panthenol, Benzotriazolyl Dodecyl P-Cresol, Dimethicone, Parfum / Fragrance, Behentrimonium Chloride, Benzyl Alcohol, Methyl Gluceth-20, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Polysorbate 20, Hydroxypropyltrimonium Hydrolyzed Wheat Protein, Sclerotium Gum, Acrylamidopropyltrimonium Chloride/Acrylates Copolymer, Disodium Edta, Polyquaternium-28, Tocopherol, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Isopropyl Alcohol, Amodimethicone, Cucumis Melo Fruit Extract / Cucumis Melo (Melon) Fruit Extract, Phenoxyethanol, Caprylyl Glycol, Citric Acid, Ci 19140 / Yellow 5, Limonene, Coumarin, Ci 61570 / Green 5, Ci 17200 / Red 33	ЕС	Кудряшкам не подойдет	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Поверхностный уход 	Davines  Oi Oil Absolute Beautifying Potion  Масло для абсолютной красоты волос c маслом аннатто		cyclopentasiloxane, disiloxane, dimethiconol, cyclohexasiloxane, ethylhexyl methoxycinnamate, parfum / fragrance, tocopherol, helianthus annuus seed oil / helianthus annuus (sunflower) seed oil, bixa orellana seed extract, citronellol, mauritia flexuosa fruit oil, geraniol, linalool, alpha-isomethyl ionone, limonene	ЕС	Кудряшкам не подойдет	Высокая
Спрей	Фен ●	Антистатик, пленки	Увлажнение	DiViT  Hair Spray  Солнцезащитный спрей для волос от солнца защита		Вода, глицерин, лактат натрия, силиконовая эмульсия, гель алое вера,  цетримониум хлорид, аллантоин, консервант локогуард, миритол, масло авокадо, гашилд уф	РФ/СНГ	Не подходит кудряшкам	Средняя
Спрей	Фен ●	Антистатик, пленки, разглаживание	Поверхностный уход Питание	EDEN  Spray for Hair Thermal Every day  Спрей-кондиционер для волос с термозащита		Aqua, Water (Аnd) Silicone Quaternium-18 (Аnd) Trideceth-6 (Аnd) Trideceth-12, Cetrimonium Chloride, PEG-40 Hydrogenated Castor Oil, Vitis Vinifera (Grape) Seed Extract, Parfum, Methylisothiazolinone (And) Methylchloroisothiazolinonе, Laminaria Digitata Extract, Citric Acid, Hydrolyzed Keratin, CI 14720	РФ/СНГ	Кудряшкам пробовать с осторожностью, если нет проблем с завитком	Средняя
Спрей	Фен ●	Антистатик, пленки	Увлажнение	Estel professional Curex balance Спрей «Водный баланс» для всех типов волос		Aqua, Cucumis Sativus Juice , Cetrimonium Chloride, PEG/PPG-15/15 Dimethicone, Polysorbate 20, Glycerin, Propylene Glycol, Sorbitol, Panthenol, Carboxymethyl Chitin, Sodium Hyaluronate, Parfum, Limonene, Butylphenyl Methylpropional, Hexyl Cinnamal, Linalool, Citronellol, Diazolidinyl Urea, Methylparaben, Propylparaben, Lactic Acid, C.I.42090	РФ/СНГ	Кудряшкам не подойдет	Средняя
Спрей	Фен ●	Антистатик, пленки	Увлажнение Восстановление	Estel professional Curex sun flowers Спрей защита от солнца 		Aqua, Sodium Hyaluronate, Polyquaternium-10, Glycerin, Hydrolyzed Silk, PEG/PPG-15/15 Dimethicone, PEG-40 Hydrogenated Castor Oil, Panthenol, Cetrimonium Chloride, Phenoxyethanol, Ethylhexylglycerin, Sodium Benzotriazolyl Butylphenol Sulfonate, Propylene Glycol, Diazolidinyl Urea, Methylparaben, Propylparaben, Parfum, Linalool, Hexyl Cinnamal, Citronellol, Benzyl Salicylate, Geraniol, Alpha-Isomethyl Lonone, Limonene, Lactic Acid	РФ/СНГ	Кудряшкам не подойдет	Средняя
