Тип	Термозащита 	Доп функции	Уход  (увлажнение/ питание/ восстановление)	Наименование	Фото	Состав  (внимание! Составы взяты с сайтов маркетплейстов, при нахождении несоответсвия просьба сообщить)	Производство	Комментарий	ч
Масло	Нет		Питание	Klorane Huile protectrice à la cire d'Ylang-Ylang Масло солнцезащитное с воском Иланг-Иланг		Isododecane, Diisopropyl Adipate, Isodecyl Neopentanoate, Coco-Caprylate/Caprate, Dicaprylyl Carbonate, Ethylhexyl Methoxycinnamate, Caprylic/Capric Triglyceride, C12-15 Alkyl Benzoate, Butyl Methoxydibenzoylmethane, Ricinus Communis (Castor) Seed Oil (Ricinus Communis Seed Oil), Alpha-Isomethyl Ionone, Benzyl Benzoate, BHT, Cananga Odorata Flower Wax (Cananga Odorata Flower Cera), Fragrance (Parfum), Helianthus Annuus (Sunflower) Seed Oil (Helianthus Annuus Seed Oil), Linalool, Tocopherol.	ЕС	Можно использовать кудряшкам	Высокая
Масло	Фен (слабая) ●		Питание	L'Oreal Paris Extraordinary Oil Sublime Detangle  Leave-In Spray, Anti Frizz, For Dry Hair		Isobutane, Isododecane, Chamomilla Recutita Flower Extract / Matricaria Flower Extract, Cocos Nucifera Oil / Coconut Oil, Tocopherol, Helianthus Annuus Seed Oil / Sunflower Seed Oil, Calendula Officinalis Flower Extract, Dimethiconol, Benzyl Alcohol, Cinnamal, Linalool, Linum Usitatissimum Flower Extract / Linseed Flower Extract, Caprylic/Capric Triglyceride, Caprylic/Capric Glycerides, Gardenia Taitensis Flower, Rosa Canina Flower Extract, C12-15 Alkyl Benzoate, Parfum / Fragrance.	ЕС РФ/СНГ		Средняя
Крем	Браш ●●	Антистатик, пленки	Комплексный уход (увлажнение, питание, восстановление)	L'Oreal Paris Elseve  Длина Мечты  Крем-уход для волос несмываемый		Aqua / Water, Cyclopentasiloxane, Propylene Glycol, Triethanolamine, Niacinamide, Ricinus Communis Seed Oil, Castor Seed Oil, Hydroxypropyl Guar, Hydrolyzed Wheat Protein, Hydroxycitronellal, Hydrolyzed Corn Protein, Hydrolyzed Soy Protein, Hydroxypropyltrimonium Hydrolyzed Wheat Protein, Phenoxyethanol, Peg / Ppg - 17/18 Dimethicone, Behentrimonium Chloride, Trideceth-6, Polyquaternium-4, Dimethiconol, Limonene, Panthenol, Benzyl Salicylate, Linalool, Benzyl Alcohol, Amodimethicone, Isopropyl Alcohol, Caprylyl Glycol, Alpha-isomethyl Ionone, Carbomer, Geraniol, Potato Starch Modified, Citronellol, Cetrimonium Chloride, Coumarin, Hexyl Cinnamal, Parfum / Fragrance	ЕС РФ/СНГ	Можно пробовать кудряшкам, если нет проблем с завитком	Средняя
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	L'Oreal Professionnel 10в1 Absolut Repair Oil  Масло для восстановления поврежденных волос		Cyclopentasiloxane, Dimethiconol, Linalool, Triticum Vulgare Germ Oil / Wheat Germ Oil, Oryza Sativa Bran Oil / Rice Bran Oil, Hexyl Cinnamal, Limonene, Citral, Parfum / Fragrance. C229354/1.	ЕС	Кудряшкам не подойдет	Высокая
Крем	Фен ●	Пленки, антистатик, защита от внешних факторов	Поверхностный уход 	L'Oreal Professionnel Heat protecting Cream Serie Expert Pro Longer Термозащитный крем		aqua / water / eau • cetyl alcohol • cetearyl alcohol • cetyl esters • amodimethicone• behentrimonium methosulfate• phenoxyethanol• quaternium-33• Arginine• panthenol• lactic acid• behentrimonium chloride• trideceth-6• benzyl salicylate • benzyl alcohol• linalool• isopropyl alcohol• serine• cetrimonium chloride• limonene • aminopropyl triethoxysilane• hydroxycitronellal• citronellol• alpha-isomethyl ionone • polyquaternium-6• parfum / fragrance. C241290/1.	ЕС		Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	L’Oreal Professionnel  Mythic Oil  Профессиональное питательное аргановое масло с термозащитой для легкого расчесывания и ухода за кончиками волос		cyclopentasiloxane • alcohol denat. • dimethiconol • argania spinosa kernel oil • c12-15 alkyl benzoate • limonene • hexyl cinnamal • coumarin • linalool • benzyl alcohol • hydroxycitronellal • amyl cinnamal • geraniol • alpha-isomethyl ionone • isoeugenol • cinnamyl alcohol • citronellol • parfum / fragrance. c195061/1.	ЕС	Кудряшкам не подойдет, может подсушивать волосы	Высокая
Спрей	Фен ●	Антистатик, пленки, разглаживание	Поверхностный уход 	L'Oreal Professionnel Tecni Art Fix Anti frizz Fixing spray  Спрей сильной фиксации с защитой от влаги и УФ-лучей		1015035 Alcohol Denat, Dimethyl Denat, Dimethyl Ether, Acrylates, T-Butylacrylamide Copolymer, Aminomethyl Propanol, Ppg-3, Methyl Ether, Ethylhexyl Methoxycinnamate, Peg•Ppg-17•18 Dimethicone, Linalool, Limonene• Butylphenyl, Methylpropional, Hexyl, Cinnamal, Hydroxycitronellial, Benzyl, Salicylate, Citral,  Parfum, Fragrance C22168/1	ЕС	Если волос сухой, лучше не использовать. Для кудряшек не подойдет, если нужно сохранить завиток.	Высокая
Флюид	Фен ●	Антистатик, легкие пленки, разглаживание	Поверхностный уход 	La Biosthetique  Smoothing Styling  Флюид стайлинг для выпрямления волос		Aqua (Water), Alcohol Denat. , Hydroxypropyl Guar, Peg-40 Hydrogenated Castor Oil, Parfum (Fragrance), Propylene Glycol, Acacia Senegal Gum, Pullulan, Sorbitol, Trehalose, Glycerin, Panthenol, Decyl Glucoside, Polyquaternium-11, Lactic Acid, Benzyl Salicylate, Limonene, Alpha-Isomethyl Ionone, Citronellol, Coumarin, Phenoxyethanol, Caprylyl Glycol, Linalool, Citral, Geraniol, Cinnamyl Alcohol, Cinnamal, Eugenol, Benzyl Benzoate, Benzyl Alcohol, Farnesol. 	ЕС	Можно использовать кудряшкам, но может подсушивать волосы	Высокая
Крем-спрей	Фен ●	Пленки, защита от внешних факторов	Восстановление	La'dor Eco Before Care Keratin PPT Спрей		Hydrolyzed Keratin, Water, PEG-12 Dimethicone, Propylene Glycol, Benzyl Glycol. Ethylhexylglycerin, Raspberry Ketone, PEG-60 Hydrogenated Castor oil. Trideceth-10 Fragrance	Корея		Высокая
Спрей	Браш ●●	Антистатик, пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	La'dor Wonder Pic Clinic Water pH 4.9 Восстанавливающий слабощелочной спрей-мист для укрепления и защиты волос 		Hippophae Rhamnoides Fruit Extract, Cyclopentasiloxane, Butylene Glycol, Hydrolyzed Silk, Dimethicone, 1,2-Hexanediol, Polyquaternium-6, Polyquaternium-53, Dimethiconol, Caprylic/Capric Triglyceride, PEG-60 Hydrogenated Castor Oil, Trideceth-10, Lavandula Angustifolia (Lavender) Extract, Rosmarinus Officinalis (Rosemary) Extract, Thymus Vulgaris (Thyme) Extract, Mentha Arvensis Leaf Extract, Borago Officinalis Extract, Salvia Officinalis (Sage) Leaf Extract, Jasminum Officinale (Jasmine) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Steartrimonium Chloride, Caprylyl Glycol, Polysorbate 60 , Disodium EDTA, Fragrance.	Корея	Кудряшкам не подойдет	Высокая
Крем	Браш ●●	Антистатик, пленки, защита от внешних факторов	Увлажнение Восстановление	La'dor  Keratin Power Glue Сыворотка для волос с кератином для секущихся кончиков 		 Water, Cyclopentasiloxane, Dimethicone, Propylene Glycol, Cetearyl Alcohol, Glycerin, Dimethiconol, Glyceryl Stearate, Hydroxyethyl Urea, Cetrimonium Chloride+B8, Hydrolyzed Keratin, Moringa Oleifera Seed Oil, Tocopherol, Hydrolyzed Collagen, Snail Secretion Filtrate, Butylene Glycol, Phenoxyethanol, Hydroxyethylcellulose, Sodium Dehydroacetate, Fragrance	Корея	Кудряшкам не подойдет	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	La'dor  Perfect Hair Therapy  Несмываемая эссенция для поврежденных волос		Cyclomethicone, Dimethiconol, Dimethicone, Cyclopentasiloxane, Vinyl Dimethicone Crosspolymer, Argania Spinosa Kernel Oil, Hydrolyzed Silk Ethyl Ester, Fragrance.	Корея	Кудряшкам не подойдет	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	La'dor  Perfumed Hair Oil 02 Hinoki  Питательное парфюмированное масло для нормальных волос		Cyclopentasiloxane, dimethicone, dimethiconol, C12- 15 alkyl benzoate, cyclohexasiloxane, squalane, amodimethicone, avocado oil, argan kernel oil, tocopheryl acetate, camellia seed oil, pine lead enghua extract, water, lactobacillus/rice ferment, strong root extract, butylene glycol, 1,2-hexanediol, keratin, elastin, gelatin, fragrance, limonene, linalool, coumarin, citronellol, hydroxycitronellal	Корея	Кудряшкам не подойдет	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	La'dor  Wonder Hair Oil  Масло для волос увлажняющее 		Cyclopentasiloxane, Cyclohexasiloxane, Isopropyl Myristate, Dimethicone, Isododecane, C12-15 Alkyl Benzoate, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Amodimethicone, Persea Gratissima (Avocado) Oil, Argania Spinosa Kernel Oil, Tocopheryl Acetate, Moringa Oleifera Seed Oil, Camellia Japonica Seed Oil, Macadamia Ternifolia Seed Oil, Sclerocarya Birrea Seed Oil, Squalane, Helianthus Annuus (Sunflower) Seed Oil, Fragrance	Корея	Кудряшкам не подойдет	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	Lanza  Neem Plant Silk Serum  Укрепляющая сыворотка с растительными экстрактами		Cyclopentasiloxane, Dimethicone, Caprylyl Methicone, Diphenylsiloxy Phenyl Trimethicone, Perfluorononyl Dimethicone, Melia Azadirachta Extract, Keratin Amino Acids, Santalum Album Extract, Phellodendron Amurense Bark Extract, Hordeum Distichon Extract, Dimethiconol Cysteine, Ceramide NP, Sodium Hyaluronate, Dimethicone PEG-8 Meadowfoamate, Sodium PCA, Zinc Pca, Magnesium Pca, Manganese Pca, Citrus Limon Fruit Extract, Fumaria Officinalis Flower/​Leaf/​Stem Extract, Helianthus Annuus Seed Oil, Squalane, Fumaric Acid, Ethylhexyl Methoxycinnamate, Tetrahexyldecyl Ascorbate, Trimethylsiloxyamodimethicone, Ascorbyl Methylsilanol Pectinate, Butylene Glycol, Water/​Eau (Aqua), Benzotriazolyl Dodecyl P-Cresol, Fragrance (Parfum), Alpha-Isomethyl Ionone, Benzyl Salicylate, Butylphenyl Methylpropional, Citronellol, Coumarin, Geraniol, Limonene, Linalool	США	Кудряшкам не подойдет	Высокая
Крем	Фен ●	Пленки, защита от внешних факторов	Увлажнение Восстановление	Lebel Cosmetics IAU Essence Forti 		Aqua, Propanediol, Hydroxypropyltrimonium Hyaluronate, HydroxyethylAcrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Dimethiconol,clopentasiloxane, Dimethicone, Hydrolyzed Keratin, Trimethyl Pentaphenyl Trisiloxane,Dioctyldodecyl Lauroyl Glutamate, Diisostearyl Dimer Dilinoleate, Sodium LauroylSarcosinate, Butyrospermum Parkii (Shea) Butter, Isostearic Acid, Persea Gratissima(Avocado) Oil, Ethylhexyl Methoxycinnamate, Polyisobutene, PEG-7 TrimethylolpropaneCoconut Ether, Butyl Methoxydibenzoylmethane, Polysilicone-14, Sorbitan Isostearate,Ethoxydiglycol, Butylene Glycol, Parfum, Methylparaben, Ethylparaben, Butylparaben,Amyl Cinnamal, Amber Powder, Musk Ketone, Rosmarinus Officinalis Extract, RosaDamascena Flower Oil, Grass-Hay Herb Extract, Ribes Nigrum Juice, Benzyl Cinnamate,Evernia Prunastri Extract, Anise Alcohol, Cinnamal, Phenoxyethanol, Propylparaben	Япония 	Кудряшкам не подойдет	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Lebel Cosmetics IAU Essence Sleek Масло 		Cyclomethicone, Dimethiconol, Dimethicone, C12-15 Alkyl Benzoate, Simmondsia Chinensis (Jojoba) Seed Oil, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Phytosteryl Oleate, Isostearic Acid, Persea Gratissima (Avocado) Oil, Butyrospermum Parkii (Shea) Butter Oil, Dimethicone Crosspolymer, Fragrance.	Япония 	Кудряшкам не подойдет	Высокая
Крем	Браш ●●	Пленки, защита от внешних факторов	Увлажнение Питание	Lebel Cosmetics  IAU Essence Moist Эссенция для волос		water, cyclomethicone, hydrogenated polyisobutene, dimethicone, hydrogenated rapeseed alcohol, persea gratissima (avocado) oil, myristyl alcohol, phytosteryl/octyldodecyl lauroyl glutamate, phytosteryl isostearyl dimer dilinoleate, isostearic acid, glycerin, butyrospermum parkii (shea) butter oil, tremella fuciformis polysaccharide, behentrimonium chloride, butylene glycol, polyglyceryl-10 laurate, phenoxyethanol, methylparaben, propylparaben, butylparaben, ethylparaben, alcohol, ethoxydiglycol, fragrance	Япония 	Кудряшкам не подойдет	Высокая
Спрей	Фен ●	Антистатик, пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	Letique  Keratin Hair Spray  Спрей для волос кератиновый		Aqua, Cetrimonium Chloride, Polyquaternium-16, Hydrolyzed Кeratin, Hydroxyethyl Urea, PEG/PPG-15/15 Dimethicone, PEG-12 Dimethicone, Cocos Nucifera (Coconut) Fruit Extract, Macadamia Ternifolia Seed Extract, Betula Alba Leaf Extract,  Urtica Dioica Extract, Chamomilla Recutita (Matricaria) Flower Extract, Panicum Miliaceum (Millet) Seed Extract, Lawsonia Inermis Extract, Equisetum Arvense Extract, Humulus Lupulus Cone Extract, Arctium Lappa Root Extract, Salvia Officinalis (Sage) Leaf Extract, Camellia Sinensis Leaf Extract,  Aloe Barbadensis Leaf Extract, Sodium PCA, Sodium Lactate, Arginine, Aspartic Acid, PCA, Glycine, Alanine, Serine, Valine, Proline, Threonine, Isoleucine, Histidine, Phenylalanine,  PEG-40 Hydrogenated Castor Oil, Parfum, F3Acetyl Tripeptide-2, Phenoxyethanol, Ethylhexylglycerin, Didecyldimonium Chloride, Citric Acid, EDTA	РФ/СНГ	Кудряшкам не подойдет, Prodew® 500 (Продью)	Высокая
Спрей	Фен ●	Антистатик, пленки, защита от внешних факторов	Поверхностный уход 	Likato Professional Спрей 17 в 1  для волос многофункциональный для укладки, восстановления и термозащиты		Aqua, Cetrimonium Chloride, Myristyl Alcohol, Amodimethicone/ Silsesquioxane Copolymer, Cyclopentasiloxane, Quaternium-70, Ethylhexylglycerin, Phenoxyethanol, Hydrolyzed Keratin (кератин), Polyquaternium-37, Propylene Glycol, Dicaprylate/Dicaprate, PPG-1 Trideceth-6, Macadamia Ternifolia Seed Oil (масло макадамии), Betaine, Benzophenone-4, Stearamidopropyl Dimethylamine, Citric Acid, Cetearyl Alcohol/ Ceteareth-20, Trideceth-5, Glycerin, Fragrance, Propylene Glycol.	ЕС		Высокая
Крем	Нет		Комплексный уход (увлажнение, питание, восстановление)	Limba  Instant Transformation  Несмываемая маска		Aqua, Cetearyl Alcohol, C13-15 Alkane, Isopentyldiol, Sorbitol, Cetrimonium Chloride, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Dipropylene Glycol, Sh-Oligopeptide-78, Hydrolyzed Silk, Hydrolyzed Wheat Protein, Bis-Ethyl(isostearylimidazoline) Isostearamide, Diazolidinyl Urea, Methylparaben, Propylparaben, Propylene Glycol, Amodimethicone/Morpholinomethyl Silsesquioxane Copolymer, Trideceth-5, Glycerin, Parfum, Lactic Acid, Linalool, Limonene, Alpha-Isomethyl Ionone, Geraniol, Coumarine.	РФ/СНГ	Несмываемая маска  18-МЕА Питание поверхностное	Высокая
Крем	Фен ●	Антистатик, пленки	Увлажнение	Londa Professional   Sun Spark  Лосьон-кондиционер несмываемый солнцезащитный		Aqua, Ethylhexyl Methoxycinnamate, Polyquaternium-37, Ethylhexyl Triazone, Propylene Glycol Dicaprylate/Dicaprate, Behentrimonium Chloride, Propylene Glycol, Guar Hydroxypropyltrimonium Chloride, Phenoxyethanol, Cetearyl Alcohol, Parfum, Methylparaben, PPG-1 Trideceth-6, Isopropyl Alcohol, Glyoxylic Acid, PEG-20 Stearate, Cholesterol, Cetyl Alcohol, Butyl Methoxydibenzoylmethane, Disodium EDTA, Sodium Hydroxide, Alcohol Denat., Hexyl Cinnamal, Sorbitan Oleate, Benzyl Salicylate, Linalool, Macadamia Ternifolia Seed Oil, Citrus Nobilis Fruit Extract, Citrus Limon Fruit Extract, Citrus Aurantifolia Fruit Extract, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Alpha-Isomethyl Ionone, Limonene, Coumarin	ЕС	Можно использовать кудряшкам	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Macadamia Natural Oil Healing Treatment Oil Уход с маслом макадамии и арганы		Cyclopentasiloxane, Dimethicone, Argania Spinosa Kernel Oil, Macadamia Ternifolia Seed Oil, Mauritia Flexuosa Fruit Oil, Isopropyl Myristate, Tocopheryl Acetate, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Parfum, Benzyl Benzoate, Coumarin, Linalool, Hexyl Cinnamal, Eugenol	США	Кудряшкам не подойдет	Средняя
Крем	Фен (слабая) ●	Антистатик, пленки	Увлажнение Питание 	Marc Anthony Strictly Curls  Curl Envy Cream		Water (Aqua/Eau), Cetyl Alcohol, Behentrimonium Chloride, Paraffinum Liquidum, Dimethicone, Petrolatum, Cetearyl Alcohol, Stearyl Alcohol, Cyclopentasiloxane, Glycerin, Persea Gratissima (Avocado) Oil, Butyrospermum Parkii (Shea) Butter, Glycine Soja (Soybean) Oil, Panthenol (Vitamin - B5), Tocopheryl Acetate (Vitamine), Citric Acid, Cellulose, Hydroxyethylcellulose , Cetrimonium Chloride, Sodium Acetate , Tetrasodium Edta, Isopropyl Alcohol, Dmdm Hydantoin, Fragrance (Parfum), Yellow 5 (Ci 19140), Linalool, Citral, Benzyl Benzoate, Hexyl Cinnamal, Limonene.	Канада		Высокая
Крем	Фен ●	Пленки, защита от внешних факторов	Увлажнение	Masil  9 Protein Perfume Silk  Несмываемый концентрированный бальзам-сыворотка для поврежденных волос, с протеинами		Water, Dimethicone, Propylene Glycol, Cyclopenta- siloxane, Cetearyl Alcohol, Butylene Glycol, Fragrance, Glyceryl Stearate, Polysorbate 80, Behentrimonium Chloride, Isopropyl Alcohol, Macadamia Ternifolia Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Cyclotetrasiloxane, Hydrolyzed Cottonseed Protein, Synthetic Fluorphlogopite, Titanium Dioxide, Phytantriol, Hydrolyzed Silk, 1,2-Hexanediol, Fibroin, Hydrolyzed Collagen, Phenoxyethanol, Sodium Hyaluronate, Gelatin, Hydrogenated Lecithin, Hydrolyzed Keratin, Avena Sativa (Oat) Kernel Extract, Tin Oxide, Acetic Acid, Ethylhexylglycerin, Hydrolyzed Corn Protein, Hydrolyzed Soy Protein, Hydrolyzed Wheat Protein, Acorus Calamus Root Extract, Adansonia Digitata Seed Extract, Aloe Barbadensis Leaf Extract, Camellia Japonica Flower Extract, Euterpe Oleracea Fruit Extract, Laminaria Japonica Extract, Malpighia Emarginata (Acerola) Fruit Extract, Moringa Pterygos- perma Seed Extract, Nelumbium Speciosum Flower Extract, Propolis Extract, Prunus Avium (Sweet Cherry) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Prunus Serrulata Flower Extract, Pyrus Malus (Apple) Fruit Extract, Salvia Officinalis (Sage) Extract, Viola Mandshurica Flower Extract, Acetyl Hexapep- tide-8	Корея	Кудряшкам не подойдет	Высокая
Масло	Браш ●●	Пленки, защита от внешних факторов	Питание	Matrix Food For Soft  Масло-сыворотка для увлажнения сухих волос с маслом авокадо		ISODODECANE, DIMETHICONE, C11-13 ISOPARAFFIN, CAPRYLIC/CAPRIC TRIGLYCERIDE, DIMETHICONOL, AMODIMETHICONE, PARFUM / FRAGRANCE, PERSEA GRATISSIMA OIL / AVOCADO OIL (масло авокадо), ETHYLHEXYL PALMITATE, LINALOOL, BENZYL SALICYLATE, BENZYL ALCOHOL, COUMARIN, LIMONENE, TRIHYDROXYSTEARIN, SODIUM HYALURONATE, TOCOPHEROL (токоферол/витамин E), HELIANTHUS ANNUUS SEED OIL / SUNFLOWER SEED OIL (масло подсолнечника), ROSMARINUS OFFICINALIS LEAF EXTRACT / ROSEMARY LEAF EXTRACT (экстракт розмарина), GLUCOMANNAN	ЕС		Высокая
Спрей	Фен ●	Антистатик, пленки, защита от внешних факторов	Поверхностный уход 	Matrix  Moisture Me Rich  Спрей для волос двухфазный несмываемый		Aqua / water • isododecane • polyquaternium-16 • dimethicone • phenoxyethanol • laureth-23 • laureth-4 • glycerin • phenyl trimethicone • polyquaternium-6 • amodimethicone • citrus grandis / grapefruit fruit water • dimethiconol • parfum / fragrance • polyaminopropyl biguanide • trideceth-5 • citric acid • prunus armeniaca kernel oil / apricot kernel oil • trideceth-10 • linalool • benzyl salicylate • limonene • benzyl alcohol • butylphenyl methylpropional • Hexyl cinnamal • citronellol • alpha-isomethyl ionone • ci 42090 / blue 1 (f.I.L. D171014/1)	ЕС	Кудряшкам не подойдет	Высокая
Спрей	Фен ●	Пленки, защита от внешних факторов	Поверхностный уход 	Matrix  TotalResults Mega Sleek Iron Smoother Спрей для гладкости волос		alcohol denat., aqua / water, va/crotonates/ vinyl neodecanoate copolymer, peg-40 hydrogenated castor oil, dimethicone peg-7 phosphate, parfum / fragrance, propylene glycol, xylose, aminomethyl propanol, benzyl salicylate, benzyl alcohol, hexyl cinnamal, limonene, linalool, sodium citrate (f.i.l.d170947/1)	ЕС	Утяжеляет волосы, подходит для высокопористых и окрашенных волос, кудряшкам не подойдет, может подсушивать волосы	Высокая
Сыворотка	Фен ●		Поверхностный уход 	Mixit Collagen Serum Сыворотка для волос		Aqua, Glycerin, Dimethicone, Phenoxyethanol, Hydroxyethylcellulose, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Linoleamidopropyl PG-Dimonium Chloride Phosphate, Silicone Quaternium-18, Amodimethicone, Polyquaternium-7, Silicone Quaternium-22, PEG/PPG-18/18 Dimethicone, Guar Hydroxypropyltrimonium Chloride, Soluble Collagen, Biotin, Hydrolyzed Corn Protein, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Leuconostoc/Radish Root Ferment Filtrate, Polyglyceryl-3 Caprate, Dipropylene Glycol, Laureth-7, Isolaureth-6, Trideceth-6, Trideceth-12, Cocamidopropyl Betaine, Benzophenone-4, Ethylhexylglycerin, Sodium Benzoate, Parfum, Hexyl Cinnamal, Linalool, Benzyl Salicylate, Limonene.	РФ/СНГ		Средняя
Крем-спрей	Фен ●	Антистатик, пленки	Поверхностный уход 	MiYo Lini Diamond Shine Hair Protection Крем-спрей 		Aqua, Cetearyl Alcohol, Cetrimonium Chloride, Amodimethicone (and) Trideceth-12 (and) Cetrimonium Chloride, PEG-PPG-15/15 Acetate Dimethicone (and) PEG-PPG 15/15 Allyl Ether Acetate (and) PEG/PPG-15/15 Acetate, Hydroxyethyl Urea, Simmondsia Chinensis (Jojoba) Seed Oil, Phenoxyethanol (and) Ethylhexylglycerin, Propylene Glycol (and) Paeonia Lactiflora Root Extract, Panthenol, Tocopherol Acetate, Lactic Acid, Parfum	Корея	18-МЕА (убрали в новой версии состава)	Средняя
Спрей	Браш ●●	Антистатик, пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	MONE PROFESSIONAL  2 Phase Spray Conditioner Двухфазный спрей кондиционер для сухих и поврежденных волос		Aqua (вода), Cyclopentasiloxane, Phenyl Trimethicone, Amodimethicone, Dimethiconol, Panthenol (пантенол провитамин B5), Polyquaternium-22, Glycerin,Trideceth-12, C11-C15 pareth-7, Laureth-9, Wheat Amino Acids (аминокислоты пшеницы), Soy Amino Acids (аминокислоты белков сои), Arginine HCl, Serine, Threonine, Cocos nucifera oil (кокосовое масло), Gardenia tahitensis flower (Масло моной де Таити), Tocopherol (витамин Е), BHA, Polysilicone-19, Dipropylene Glycol, DMDM Hydantoin, PEG-40 Hydrogenated Castor Oil (гидрогенизированное касторовое масло), Sodium Chloride, Disodium EDTA, Benzophenone-4, Parfum (отдушка), Benzyl Salicylate, Hexyl Cinnamal, Butylphenyl Methylpropional, Limonene, Linalool, CI 60730, CI 16185	РФ/СНГ	Подходит для повреждённых, путающихся, под брашинг, придает блеск и плотность. не подойдет для кудряшек	Высокая
Крем	Браш ●●	Антистатик, пленки, защита от внешних факторов	Увлажнение	MONE PROFESSIONAL  Pink Bubbles - 6in1 filler cream Крем-филлер для блеска волос несмываемый 		Aqua, Cyclopentasiloxane, Dimethiconol, Propylene glycol, Myristyl alcohol, Ceteareth-30, Cetrimonium chloride, Parfum, Potassium sorbate, Sodium benzoate, Lactic acid	РФ/СНГ		Высокая
Спрей	Фен ●	Антистатик, пленки, стайлинг	Увлажнение Питание	MONE PROFESSIONAL  Root Volumizer Профессиональный уходовый спрей для долговременного прикорневого объема на каждый день		Aqua (вода), Propylene Glycol, Amp-Acrylates/Allyl Methacrylate Copolymer, Alcohol Denat, Peg-40 Hydrogenated Castor Oil, Phenoxyethanol, Sodium Polystyrene Sulfonate, Panthenol (пантенол провитамин B5), Peg/Ppg-25/25 Dimethicone , Hydrolyzed Vegetable Protein (гидролизованный растительный протеин), Pg-Propyl Silanetriol (гидрогенизированное касторовое масло), Parfum (отдушка), Ethylhexylglycerin, Sodium Sulfate, Cannabis Sativa Seed Oil (масло семян конопли), Persea Gratissima Oil (масло авокадо), Disodium Edta, Potassium Sorbate, Hexyl Cinnamal, Linalool, Benzyl Salicylate	РФ/СНГ	Кудряшкам можно пробовать, может подсушивать волосы	Высокая
Крем	Браш ●●	Антистатик, пленки	Увлажнение Восстановление	MONE PROFESSIONAL Moneplex 04 Keratin Elixir Профессиональная несмываемая маска для всех типов волос с кератином, восстанавливающий уходовый спрей для увлажнения, питания и постоянного блеска		Aqua, Cyclohexasiloxane, Propylene Glycol, Cetearyl Alcohol, Behentrimonium Chloride, Polysilicone-19, Dipropylene Glycol, Silicone Quaternium-22, Cyclopentasiloxane, Quaternium-80, Hydrolysed Silk, Wheat Amino Acids, Soy Amino Acids, Arginine HCl, Serine, Threonine, Panthenol, PPG-3 Myristyl Ether, Isopropyl Alcohol, Phenoxyethanol, Ethylhexylglycerin, Benzyl Alcohol, Potassium Sorbate, Sodium Benzoate, Disodium EDTA, Parfum, Butylphenyl Methylpropional, Αlpha-isomethyl Ionone, Citronellol, Limonene, Hexyl Cinnamal, Linalool	РФ/СНГ	Можно кудряшкам, если нет проблем с завитком	Высокая
Спрей	Фен ●	Антистатик, пленки, защита от внешних факторов	Поверхностный уход 	Moroccanoil  Frizz control  Для поврежденных, пористых, утяжеляет и выравнивает 		Aqua, Peg-12 Dimeticone, Polyquaternium-70, Parfum, Argania spinosa kernel oil, Polysorbate 20, Dipropylene glycol, acetamide mea, Peg-20 glyceryl laurate, tocopherol, linoleic acid, retinyl palmitate, diethylhexyl syringylidenemalonate,  Caprylic/Capric Triglyceride, phenoxyethanol, butylene glycol, chondrus crispus extract, ascophyllum nodosum extract, palmaria palmata extract, laminaria saccharina extract, undaria pinnatifida extract, caprylyl glycol, citric acid, chlorphenesin.	ИзраильСША	Кудряшкам не подойдет	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Moroccanoil  Treatment Масло восстанавливающее для всех типов волос		Cyclopentasiloxane, Dimethicone, Argania Spinoza Kernal Oil, Parfum/ Fragrance, Linseed (Linum Usitatissimum) Extract, D&C Red-17, D&C Yellow-11	ИзраильСША	Кудряшкам не подойдет	Высокая
